Designator,Mid X,Mid Y,Rotation,Layer
R135,254.1237,-122.2725,30.0,top
R136,255.1397,-124.0323,30.0,top
R137,257.8489,-128.7388,30.0,top
R138,258.8776,-130.5205,30.0,top
R139,260.4871,-133.2575,30.0,top
R14,266.065,-257.6048,90.0,top
R140,261.5412,-135.0832,30.0,top
R141,263.2015,-137.9082,30.0,top
R142,264.2903,-139.7432,30.0,top
R143,216.1345,-91.5499,60.0,top
R144,217.8942,-92.5659,60.0,top
R145,222.5938,-95.2873,60.0,top
R146,224.3755,-96.316,60.0,top
R147,227.1379,-97.8815,60.0,top
R148,228.9636,-98.9356,60.0,top
R149,231.814,-100.5519,60.0,top
R15,263.6774,-258.4806,90.0,top
R150,233.6744,-101.5967,60.0,top
R151,167.8736,-83.938,90.0,top
R152,169.9056,-83.938,90.0,top
R153,175.3362,-83.945,90.0,top
R154,177.3936,-83.945,90.0,top
R155,180.5686,-83.9196,90.0,top
R156,182.6768,-83.9196,90.0,top
R157,185.9534,-83.8942,90.0,top
R158,188.087,-83.8688,90.0,top
R159,122.2725,-101.4763,120.0,top
R16,261.3152,-259.3574,90.0,top
R160,124.0323,-100.4603,120.0,top
R161,128.7388,-97.7511,120.0,top
R162,130.5205,-96.7224,120.0,top
R163,133.2575,-95.1129,120.0,top
R164,135.0832,-94.0588,120.0,top
R165,137.9082,-92.3985,120.0,top
R166,139.7432,-91.3097,120.0,top
R167,91.5499,-139.4655,150.0,top
R168,92.5659,-137.7058,150.0,top
R169,95.2873,-133.0062,150.0,top
R17,258.9276,-260.1956,90.0,top
R170,96.316,-131.2245,150.0,top
R171,97.8815,-128.4621,150.0,top
R172,98.9356,-126.6364,150.0,top
R173,100.5519,-123.786,150.0,top
R174,101.5967,-121.9256,150.0,top
R175,83.938,-187.7264,180.0,top
R176,83.938,-185.6944,180.0,top
R177,83.945,-180.2638,180.0,top
R178,83.945,-178.2064,180.0,top
R179,83.9196,-175.0314,180.0,top
R18,249.3518,-263.6754,90.0,top
R180,83.9196,-172.9232,180.0,top
R181,83.8942,-169.6466,180.0,top
R182,83.8688,-167.513,180.0,top
R183,101.4763,-233.3275,210.0,top
R184,100.4603,-231.5677,210.0,top
R185,97.7511,-226.8612,210.0,top
R186,96.7224,-225.0795,210.0,top
R187,95.1129,-222.3425,210.0,top
R188,94.0588,-220.5168,210.0,top
R189,92.3985,-217.6918,210.0,top
R19,246.9896,-264.539,90.0,top
R190,91.3097,-215.8568,210.0,top
R191,139.4655,-264.0501,240.0,top
R192,137.7058,-263.0341,240.0,top
R193,133.0062,-260.3127,240.0,top
R194,131.2245,-259.284,240.0,top
R195,128.4621,-257.7185,240.0,top
R196,126.6364,-256.6644,240.0,top
R197,123.786,-255.0481,240.0,top
R198,121.9256,-254.0033,240.0,top
R199,187.7264,-271.662,270.0,top
R2,75.6412,-199.6908,270.0,top
R20,239.8268,-273.05,270.0,top
R200,185.6944,-271.662,270.0,top
R201,180.2638,-271.655,270.0,top
R202,178.2064,-271.655,270.0,top
R203,175.0314,-271.6804,270.0,top
R204,172.9232,-271.6804,270.0,top
R205,169.6466,-271.7058,270.0,top
R206,167.513,-271.7312,270.0,top
R207,233.3275,-254.1237,300.0,top
R208,231.5677,-255.1397,300.0,top
R209,226.8612,-257.8489,300.0,top
R21,237.49,-273.6576,270.0,top
R210,225.0795,-258.8776,300.0,top
R211,222.3425,-260.4871,300.0,top
R212,220.5168,-261.5412,300.0,top
R213,217.6918,-263.2015,300.0,top
R214,215.8568,-264.2903,300.0,top
R215,264.0501,-216.1345,330.0,top
R216,263.0341,-217.8942,330.0,top
R217,260.3127,-222.5938,330.0,top
R218,259.284,-224.3755,330.0,top
R219,257.7185,-227.1379,330.0,top
R22,235.0516,-274.5212,270.0,top
R220,256.6644,-228.9636,330.0,top
R221,255.0481,-231.814,330.0,top
R222,254.0033,-233.6744,330.0,top
R223,271.6256,-172.72,0.0,top
R224,256.5154,-126.4878,30.0,top
R225,220.3134,-94.0046,60.0,top
R226,172.72,-83.9744,90.0,top
R227,126.4878,-99.0846,120.0,top
R228,94.0046,-135.2866,150.0,top
R229,83.9744,-182.88,180.0,top
R23,232.664,-275.2832,270.0,top
R230,99.0846,-229.1122,210.0,top
R231,135.2866,-261.5954,240.0,top
R232,182.88,-271.6256,270.0,top
R233,229.1122,-256.5154,300.0,top
R234,261.5954,-220.3134,330.0,top
R24,227.332,-274.066,180.0,top
R25,282.704,-267.843,180.0,top
R26,280.287,-268.732,180.0,top
R27,277.874,-269.748,180.0,top
R28,275.4864,-270.6116,180.0,top
R29,268.859,-278.513,270.0,top
R3,237.7694,-284.1772,90.0,top
R30,266.4968,-279.275,270.0,top
R31,254.5588,-283.6652,270.0,top
